filename,loc,site,elev,elevation,species,order,temp_trt,stress,chamber_num,barcode,dryweight,control_corr_mr
MRT61Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,7.5,ns,1,62521,0.00645,0.001312686
MRT62Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,7.5,ns,1,62525,0.00457,0.000592857
MRT61Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,7.5,ns,2,62522,0.00616,0.001235057
MRT62Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,7.5,ns,2,62526,0.062,-0.003115552
MRT61Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,7.5,ns,3,62523,0.00582,0.003462223
MRT62Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,7.5,ns,4,62524,0.00492,0.002288026
MRT38Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,1,62454,0.00494,0.000403405
MRT39Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,1,62456,0.00213,0.004444732
MRT67Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,1,62539,0.00593,5.94E-05
MRT39Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,2,62457,0.00549,0.004458323
MRT67Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,2,62540,0.00628,0.000144991
MRT68Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,2,62542,0.00666,0.001070823
MRT38Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,3,62452,0.00718,0.001796283
MRT67Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,3,62541,0.00672,0.001865255
MRT68Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,3,62543,0.00687,0.000840816
MRT38Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,4,62453,0.01008,0.004589458
MRT39Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,4,62455,0.00562,0.003079444
MRT68Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,10,ns,4,62544,0.0127,-0.007713029
MRT63Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,12.5,ns,1,62529,0.0049,-0.00237615
MRT64Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,12.5,ns,1,62531,0.06459,0.009168052
MRT64Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,12.5,ns,2,62532,0.06925,0.013064802
MRT63Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,12.5,ns,3,62527,0.00413,0.001936852
MRT63Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,12.5,ns,4,62528,0.00841,0.000625222
MRT64Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,12.5,ns,4,62530,0.02264,0.011560112
MRT51Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,15,ns,1,62492,0.01379,0.004260901
MRT51Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,15,ns,2,62493,0.04404,0.008210061
MRT52Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,15,ns,2,62494,0.00616,-0.00117904
MRT52Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,15,ns,3,62495,0.01409,-0.002088241
MRT51Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,15,ns,4,62491,0.023,0.005273111
MRT52Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,15,ns,4,62496,0.01793,-0.002116939
MRT35Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,17.5,ns,1,62443,0.01623,0.004827218
MRT36Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,17.5,ns,1,62446,0.01284,0.001904369
MRT35Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,17.5,ns,2,62444,0.02272,0.005790388
MRT36Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,17.5,ns,2,62447,0.00911,-0.00024466
MRT35Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,17.5,ns,3,62445,0.02717,0.010091678
MRT36Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,17.5,ns,3,62448,0.01803,0.004340388
MRT37Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,20,ns,1,62451,0.01426,0.004213647
MRT45Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,20,ns,1,62475,0.00601,0.001147022
MRT37Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,20,ns,3,62452,0.00718,0.010032536
MRT45Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,20,ns,3,62473,0.00753,0.010112316
MRT37Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,20,ns,4,62453,0.01008,0.007514823
MRT45Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,20,ns,4,62474,0.00913,0.00174175
MRT47Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,22.5,,1,62479,0.00706,0.002962777
MRT48Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,22.5,,1,62482,62482,0.002421133
MRT47Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,22.5,,2,62480,0.00534,3.67E-05
MRT48Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,22.5,,2,62483,62483,0.00906106
MRT47Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,22.5,,3,62481,0.00291,0.002541449
MRT48Y2014.xls,Ecuador,Guango,mid,2798,Anacroneuria,P,22.5,,3,62484,62484,0.01276831
